,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,day_of_week,last_updated_hour,time_interval,bike_uptime,dock_uptime,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
50,0.0,359,359,359,551796353156,493,440,10913,1,0,720,2872,3590,0.5013927576601671,1.0,,30.0,2.0,,151.0,,2018-11-25 10:23:15 AM,40.722103786686034,,-73.99724900722504,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,1.0,In Service,False,33.0
51,0.0,720,720,720,1106679914576,9373,1350,13005,32,11,3957,10453,7200,0.9472222222222222,0.9847222222222223,,30.0,2.0,,151.0,,2018-11-25 10:23:15 AM,40.722103786686034,,-73.99724900722504,,Cleveland Pl & Spring St,,Cleveland Pl & Spring St,1.0,In Service,False,33.0
52,0.0,2980,2980,2980,4580409812458,27171,3074,38295,0,74,8481,31900,29800,0.9489932885906041,0.9845637583892617,,6.0,16.0,,157.0,,2018-11-25 10:21:19 AM,40.69089272,,-73.99612349,,Henry St & Atlantic Ave,,Henry St & Atlantic Ave,1.0,In Service,False,23.0
53,0.0,240,240,240,368898336706,976,199,4345,0,0,480,4200,2400,0.925,1.0,,6.0,16.0,,157.0,,2018-11-25 10:21:19 AM,40.69089272,,-73.99612349,,Henry St & Atlantic Ave,,Henry St & Atlantic Ave,1.0,In Service,False,23.0
54,0.0,359,359,359,551795614501,4145,354,3758,0,3,720,2872,3590,1.0,1.0,,6.0,16.0,,157.0,,2018-11-25 10:21:19 AM,40.69089272,,-73.99612349,,Henry St & Atlantic Ave,,Henry St & Atlantic Ave,1.0,In Service,False,23.0
55,0.0,720,720,720,1106679019081,6985,665,8910,0,25,3957,10453,7200,0.9666666666666667,0.9833333333333333,,6.0,16.0,,157.0,,2018-11-25 10:21:19 AM,40.69089272,,-73.99612349,,Henry St & Atlantic Ave,,Henry St & Atlantic Ave,1.0,In Service,False,23.0
56,0.0,2980,2980,2980,4580409609399,31641,2132,106287,0,44,8481,31900,29800,0.7704697986577181,0.9825503355704698,,1.0,45.0,,164.0,,2018-11-25 10:23:56 AM,40.75323098,,-73.97032517,,E 47 St & 2 Ave,,E 47 St & 2 Ave,1.0,In Service,False,47.0
57,0.0,240,240,240,368898440116,7361,208,3711,0,5,480,4200,2400,0.9916666666666667,0.9666666666666667,,1.0,45.0,,164.0,,2018-11-25 10:23:56 AM,40.75323098,,-73.97032517,,E 47 St & 2 Ave,,E 47 St & 2 Ave,1.0,In Service,False,47.0
58,0.0,359,359,359,551797260573,1555,165,15153,0,23,720,2872,3590,0.8050139275766016,1.0,,1.0,45.0,,164.0,,2018-11-25 10:23:56 AM,40.75323098,,-73.97032517,,E 47 St & 2 Ave,,E 47 St & 2 Ave,1.0,In Service,False,47.0
59,0.0,720,720,720,1106678944802,1744,346,31750,0,0,3957,10453,7200,0.6944444444444444,1.0,,1.0,45.0,,164.0,,2018-11-25 10:23:56 AM,40.75323098,,-73.97032517,,E 47 St & 2 Ave,,E 47 St & 2 Ave,1.0,In Service,False,47.0
60,0.0,2980,2980,2980,4580410235188,20993,5783,107002,187,72,8481,31900,29800,0.7352348993288591,0.9959731543624161,,4.0,40.0,,167.0,,2018-11-25 10:22:55 AM,40.7489006,,-73.97604882,,E 39 St & 3 Ave,,E 39 St & 3 Ave,1.0,In Service,False,45.0
61,0.0,240,240,240,368898471157,4519,508,5545,108,3,480,4200,2400,0.9708333333333333,0.9916666666666667,,4.0,40.0,,167.0,,2018-11-25 10:22:55 AM,40.7489006,,-73.97604882,,E 39 St & 3 Ave,,E 39 St & 3 Ave,1.0,In Service,False,45.0
62,0.0,359,359,359,551796677666,701,611,14843,0,56,720,2872,3590,0.5988857938718662,1.0,,4.0,40.0,,167.0,,2018-11-25 10:22:55 AM,40.7489006,,-73.97604882,,E 39 St & 3 Ave,,E 39 St & 3 Ave,1.0,In Service,False,45.0
63,0.0,720,720,720,1106679270488,2597,1048,28755,0,1,3957,10453,7200,0.8,1.0,,4.0,40.0,,167.0,,2018-11-25 10:22:55 AM,40.7489006,,-73.97604882,,E 39 St & 3 Ave,,E 39 St & 3 Ave,1.0,In Service,False,45.0
64,0.0,2980,2980,2980,4580409592545,33066,4801,102192,1,71,8481,31900,29800,1.0,0.9919463087248322,,45.0,1.0,,168.0,,2018-11-25 10:25:14 AM,40.73971301,,-73.99456405,,W 18 St & 6 Ave,,W 18 St & 6 Ave,1.0,In Service,False,47.0
65,0.0,240,240,240,368898521769,6875,356,4049,0,6,480,4200,2400,1.0,0.9833333333333333,,45.0,1.0,,168.0,,2018-11-25 10:25:14 AM,40.73971301,,-73.99456405,,W 18 St & 6 Ave,,W 18 St & 6 Ave,1.0,In Service,False,47.0
66,0.0,359,359,359,551796694763,1162,376,15331,4,1,720,2872,3590,1.0,1.0,,45.0,1.0,,168.0,,2018-11-25 10:25:14 AM,40.73971301,,-73.99456405,,W 18 St & 6 Ave,,W 18 St & 6 Ave,1.0,In Service,False,47.0
67,0.0,720,720,720,1106678790492,9209,906,23725,0,13,3957,10453,7200,1.0,1.0,,45.0,1.0,,168.0,,2018-11-25 10:25:14 AM,40.73971301,,-73.99456405,,W 18 St & 6 Ave,,W 18 St & 6 Ave,1.0,In Service,False,47.0
68,0.0,2980,2967,2967,4580410615851,24928,3711,123334,7,56,8481,31900,29800,0.6610738255033557,0.9895973154362416,,22.0,29.0,,173.0,,2018-11-25 10:24:44 AM,40.76068327096592,,-73.9845272898674,,Broadway & W 49 St,,Broadway & W 49 St,1.0,In Service,False,51.0
69,0.0,240,240,240,368898503907,2941,356,8942,1,3,480,4200,2400,0.9125,1.0,,22.0,29.0,,173.0,,2018-11-25 10:24:44 AM,40.76068327096592,,-73.9845272898674,,Broadway & W 49 St,,Broadway & W 49 St,1.0,In Service,False,51.0
70,0.0,359,359,359,551796882350,317,223,17769,0,1,720,2872,3590,0.3593314763231198,1.0,,22.0,29.0,,173.0,,2018-11-25 10:24:44 AM,40.76068327096592,,-73.9845272898674,,Broadway & W 49 St,,Broadway & W 49 St,1.0,In Service,False,51.0
71,0.0,720,720,720,1106679516121,2508,918,33294,0,2,3957,10453,7200,0.7777777777777778,1.0,,22.0,29.0,,173.0,,2018-11-25 10:24:44 AM,40.76068327096592,,-73.9845272898674,,Broadway & W 49 St,,Broadway & W 49 St,1.0,In Service,False,51.0
72,0.0,2980,2980,2980,4580411070675,20074,3588,64984,292,48,8481,31900,29800,0.8114093959731543,0.9879194630872483,,1.0,29.0,,174.0,,2018-11-25 10:22:40 AM,40.7381765,,-73.97738662,,E 25 St & 1 Ave,,E 25 St & 1 Ave,1.0,In Service,False,30.0
73,0.0,240,240,240,368898460107,487,178,6535,0,8,480,4200,2400,0.7291666666666666,1.0,,1.0,29.0,,174.0,,2018-11-25 10:22:40 AM,40.7381765,,-73.97738662,,E 25 St & 1 Ave,,E 25 St & 1 Ave,1.0,In Service,False,30.0
74,0.0,359,359,359,551797075616,5121,407,5242,0,1,720,2872,3590,1.0,0.9693593314763231,,1.0,29.0,,174.0,,2018-11-25 10:22:40 AM,40.7381765,,-73.97738662,,E 25 St & 1 Ave,,E 25 St & 1 Ave,1.0,In Service,False,30.0
75,0.0,720,720,720,1106679711587,5241,415,15349,108,11,3957,10453,7200,0.7111111111111111,0.9708333333333333,,1.0,29.0,,174.0,,2018-11-25 10:22:40 AM,40.7381765,,-73.97738662,,E 25 St & 1 Ave,,E 25 St & 1 Ave,1.0,In Service,False,30.0
76,0.0,2980,2980,2980,4580409559366,26990,3274,103834,2,54,8481,31900,29800,0.7469798657718121,0.9822147651006712,,5.0,40.0,,195.0,,2018-11-25 10:24:14 AM,40.70905623,,-74.01043382,,Liberty St & Broadway,,Liberty St & Broadway,1.0,In Service,False,45.0
